TOA5	Carl_WS	CR1000	17273	CR1000.Std.15	CPU:COBS_SW8Aport5.cr1	27157	Daily																				
TIMESTAMP	RECORD	Batt_Volt_Min	PTemp_C_Max	PTemp_C_Min	Rain_in_Tot	SlrW_Avg	SlrW_Max	SlrW_TMx	SlrMJ_Tot	AirTF_Max	AirTF_TMx	AirTF_Min	AirTF_TMn	AirTF_Avg	RH_Max	RH_TMx	RH_Min	RH_TMn	WS_mph_Max	WS_mph_TMx	WS_mph_S_WVT	WindDir_D1_WVT	T107_F_Max	T107_F_TMx	T107_F_Min	T107_F_TMn	T107_F_Avg
TS	RN	Volts	Deg C	Deg C	inch	W/m�	W/m�	W/m�	MJ/m�	Deg F	Deg F	Deg F	Deg F	Deg F	%	%	%	%	miles/hour	miles/hour	miles/hour	Deg	Deg F	Deg F	Deg F	Deg F	Deg F
		Min	Max	Min	Tot	Avg	Max	TMx	Tot	Max	TMx	Min	TMn	Avg	Max	TMx	Min	TMn	Max	TMx	WVc	WVc	Max	TMx	Min	TMn	Avg
8/3/2016 0:00	154	11.71	32.77	18.69	0.46	140.9	856	8/2/2016 14:01	12.17689	83.7	8/2/2016 16:45	64.55	8/2/2016 1:32	71.96	115.8	8/2/2016 7:13	58.28	8/2/2016 16:19	15.12	8/2/2016 8:56	3.316	139.5	71.83	8/2/2016 22:52	70.84	8/2/2016 12:45	71.33
8/4/2016 0:00	155	11.46	33.73	17.24	0.01	292	1078	8/3/2016 12:51	25.23015	85.5	8/3/2016 14:00	61.7	8/3/2016 5:25	74.83	116.9	8/3/2016 7:52	60.24	8/3/2016 11:46	10.89	8/3/2016 12:10	3.245	127.9	73.53	8/3/2016 22:58	70.88	8/3/2016 8:41	72
8/5/2016 0:00	156	11.83	34.96	20.88	180	194.5	1165	8/4/2016 11:39	16.80485	89.3	8/4/2016 16:18	67.82	8/4/2016 23:59	77.47	116.3	8/4/2016 20:37	53.2	8/4/2016 13:29	28.98	8/4/2016 19:55	5.578	182	74.82	8/4/2016 21:15	72.89	8/4/2016 9:38	73.68
8/6/2016 0:00	157	11.74	29.45	15.48	0	292	886	8/5/2016 13:08	25.23246	78.62	8/5/2016 14:42	59.02	8/5/2016 23:03	69.48	111.7	8/5/2016 4:39	43	8/5/2016 13:56	15.1	8/5/2016 14:25	5.146	349.9	74.52	8/5/2016 0:04	72.52	8/5/2016 23:58	73.2
8/7/2016 0:00	158	11.84	30.6	15	0	259.2	1207	8/6/2016 13:49	22.39507	79.17	8/6/2016 15:14	59.38	8/6/2016 22:45	67.82	113.5	8/6/2016 23:40	43.34	8/6/2016 15:46	9.4	8/6/2016 17:14	2.66	10.09	72.54	8/6/2016 0:01	70.88	8/6/2016 11:04	71.52
8/8/2016 0:00	159	11.84	29.55	15.48	0	183.8	1180	8/7/2016 14:31	15.88153	?	8/7/2016 14:21	-72	8/7/2016 23:48	67.69	115.7	8/7/2016 23:54	51.35	8/7/2016 14:32	8.59	8/7/2016 16:24	2.358	67.81	71.43	8/7/2016 0:00	70.18	8/7/2016 11:12	70.72
8/9/2016 0:00	160	11.8	28.92	15.14	0	172.9	1053	8/8/2016 10:15	14.94091	77.83	8/8/2016 13:20	58.71	8/8/2016 3:06	69.49	116.8	8/8/2016 6:43	62.08	8/8/2016 12:30	10.89	8/8/2016 12:53	3.307	104	71.23	8/8/2016 22:14	69.71	8/8/2016 9:57	70.49
8/10/2016 0:00	161	11.79	34.61	17.64	0	266.7	1089	8/9/2016 12:01	23.03966	85.4	8/9/2016 15:24	63.7	8/9/2016 3:37	75.21	115.4	8/9/2016 5:53	55	8/9/2016 13:43	7.365	8/9/2016 15:00	2.214	145.3	72.93	8/9/2016 23:17	70.55	8/9/2016 9:26	71.52
8/11/2016 0:00	162	11.74	34.61	19.26	0.27	196.9	1103	8/10/2016 10:35	17.00784	88.8	8/10/2016 12:57	65.7	8/10/2016 3:43	76.24	116.7	8/10/2016 6:32	64.6	8/10/2016 11:44	21.92	8/10/2016 15:23	4.304	138.3	74.01	8/10/2016 19:44	72.11	8/10/2016 9:28	73.03
8/12/2016 0:00	163	11.79	35.59	21.04	3.69	213.4	947	8/11/2016 10:54	18.43821	88.7	8/11/2016 15:30	68.06	8/11/2016 6:48	75.68	116.9	8/11/2016 20:18	61.42	8/11/2016 15:43	23.52	8/11/2016 6:14	7.05	123	75.49	8/11/2016 18:38	73.09	8/11/2016 11:08	73.82
